,Sr No,Date,Startup Name,Industry Vertical,SubVertical,City,Investors,Investment Type,Amount in USD,Funding_Category,Amount in Rs(Cr),Funding_Round,Investor_Rank_x,Power_Score_x,Investor_Rank_y,Power_Score_y,Influence_Index,Final_Rank
3158,1662,01-05-2016,MotoMojo,Consumer Internet,Mobile based Vehicle maintenance App,Mumbai,"""  balamurugan mani""",seed funding,1750000,Large,15.91975,Seed,495,0.431824532,495,0.431824532,0.004172892,648
3159,1662,01-05-2016,MotoMojo,Consumer Internet,Mobile based Vehicle maintenance App,Mumbai,""" """,seed funding,1750000,Large,15.91975,Seed,36,0.988823694,36,0.988823694,0.265038638,6
3160,1663,01-05-2016,Get My Parking,Technology,Parking Technology Platform,New Delhi,"""the chennai angels""",seed funding,376000,Medium,3.420472,Seed,341,0.779267952,341,0.779267952,0.038176211,121
3161,1664,01-05-2016,Prescribez,Consumer Internet,Health Service Aggregator Platform,Pune,"""ankush mehta""",seed funding,145000,Medium,1.319065,Seed,645,0.03101425,645,0.03101425,0.003742579,784
3162,1665,02-05-2016,Airwood,Technology,Agri Data & Analytics Platform,Chennai,"""startupxseed ventures""",seed funding,1750000,Large,15.91975,Seed,434,0.675607712,434,0.675607712,0.008095784,481
3163,1666,03-05-2016,Mobikwik,Consumer Internet,Mobile & Digital Wallet,Gurgaon,"""gmo payment gateway""",private equity,50000000,Very Large,454.85,Private Equity,147,0.93210394,147,0.93210394,0.017109086,262
3164,1666,03-05-2016,Mobikwik,Consumer Internet,Mobile & Digital Wallet,Gurgaon,"""  mediatek""",private equity,50000000,Very Large,454.85,Private Equity,147,0.93210394,147,0.93210394,0.017109086,262
3165,1667,03-05-2016,iDreamCareer,Consumer Internet,Career Planning Services Portal,New Delhi,"""brand capital""",private equity,1750000,Large,15.91975,Private Equity,124,0.94635373,124,0.94635373,0.056816387,72
3166,1668,03-05-2016,Zwayam,Consumer Internet,Online Recruitment Platform,Bangalore,"""undisclosed investors""",seed funding,250000,Medium,2.27425,Seed,40,0.987706063,40,0.987706063,0.345894284,4
3167,1669,03-05-2016,BoiBanit,Consumer Internet,Online Food Delivery platform,Vadodara,"""undisclosed investors""",seed funding,1750000,Large,15.91975,Seed,40,0.987706063,40,0.987706063,0.345894284,4
3168,1670,03-05-2016,Zuver,Consumer Internet,Car driver Discovery App,Mumbai,"""shruth & smith group""",seed funding,180000,Medium,1.63746,Seed,633,0.054763901,633,0.054763901,0.003751963,772
3169,1670,03-05-2016,Zuver,Consumer Internet,Car driver Discovery App,Mumbai,"""  hermes group""",seed funding,180000,Medium,1.63746,Seed,633,0.054763901,633,0.054763901,0.003751963,772
3170,1671,03-05-2016,Prepathon,Education,Competitive Exam learning platform,Mumbai,"""blume ventures""",private equity,1750000,Large,15.91975,Private Equity,183,0.911427773,183,0.911427773,0.100645137,39
3171,1672,04-05-2016,EasyRoads,Consumer Internet,Road Trip planning Mobile app,Mumbai,"""rohan angrish""",seed funding,200000,Medium,1.8194,Seed,628,0.065101984,628,0.065101984,0.003757325,767
3172,1672,04-05-2016,EasyRoads,Consumer Internet,Road Trip planning Mobile app,Mumbai,"""  hrishi oberoi""",seed funding,200000,Medium,1.8194,Seed,628,0.065101984,628,0.065101984,0.003757325,767
3173,1672,04-05-2016,EasyRoads,Consumer Internet,Road Trip planning Mobile app,Mumbai,"""  rahul mehta""",seed funding,200000,Medium,1.8194,Seed,628,0.065101984,628,0.065101984,0.003757325,767
3174,1672,04-05-2016,EasyRoads,Consumer Internet,Road Trip planning Mobile app,Mumbai,"""  kapil hetamsaria""",seed funding,200000,Medium,1.8194,Seed,628,0.065101984,628,0.065101984,0.003757325,767
3175,1672,04-05-2016,EasyRoads,Consumer Internet,Road Trip planning Mobile app,Mumbai,"""  pranav dedhia""",seed funding,200000,Medium,1.8194,Seed,628,0.065101984,628,0.065101984,0.003757325,767
3176,1673,04-05-2016,Lenskart,eCommerce,Eyewear & Accessories etailer,New Delhi,"""international finance corp""",private equity,60000000,Very Large,545.82,Private Equity,127,0.944397877,127,0.944397877,0.019790162,229
3177,1673,04-05-2016,Lenskart,eCommerce,Eyewear & Accessories etailer,New Delhi,"""  tpg growth""",private equity,60000000,Very Large,545.82,Private Equity,127,0.944397877,127,0.944397877,0.019790162,229
3178,1673,04-05-2016,Lenskart,eCommerce,Eyewear & Accessories etailer,New Delhi,"""  adveq management""",private equity,60000000,Very Large,545.82,Private Equity,127,0.944397877,127,0.944397877,0.019790162,229
3179,1673,04-05-2016,Lenskart,eCommerce,Eyewear & Accessories etailer,New Delhi,"""  idg ventures""",private equity,60000000,Very Large,545.82,Private Equity,81,0.968426935,81,0.968426935,0.050712694,80
3180,1673,04-05-2016,Lenskart,eCommerce,Eyewear & Accessories etailer,New Delhi,"""  ratan tata""",private equity,60000000,Very Large,545.82,Private Equity,117,0.949427214,117,0.949427214,0.021214278,216
3181,1673,04-05-2016,Lenskart,eCommerce,Eyewear & Accessories etailer,New Delhi,"""  kris gopalakrishnan""",private equity,60000000,Very Large,545.82,Private Equity,98,0.958088852,98,0.958088852,0.036681045,124
3182,1674,04-05-2016,Seclore,Technology,Enterprise Security Technology platform,Mumbai,"""sistema asia fund""",private equity,12000000,Very Large,109.164,Private Equity,110,0.953059514,110,0.953059514,0.034147024,139
3183,1674,04-05-2016,Seclore,Technology,Enterprise Security Technology platform,Mumbai,"""  helion venture""",private equity,12000000,Very Large,109.164,Private Equity,303,0.816010059,303,0.816010059,0.006920995,565
3184,1674,04-05-2016,Seclore,Technology,Enterprise Security Technology platform,Mumbai,"""  ventureeast""",private equity,12000000,Very Large,109.164,Private Equity,303,0.816010059,303,0.816010059,0.006920995,565
3185,1674,04-05-2016,Seclore,Technology,Enterprise Security Technology platform,Mumbai,"""  india alternatives""",private equity,12000000,Very Large,109.164,Private Equity,303,0.816010059,303,0.816010059,0.006920995,565
3186,1675,04-05-2016,SolarTown,Technology,Solar Rooftop system installation company,Chennai,"""grex.in""",seed funding,200000,Medium,1.8194,Seed,570,0.139843532,570,0.139843532,0.007486079,551
3187,1676,04-05-2016,Comarete,Technology,Telecom & Media IT services company,Pune,"""grex.in""",seed funding,200000,Medium,1.8194,Seed,570,0.139843532,570,0.139843532,0.007486079,551
3188,1677,04-05-2016,MyDentistChoice,eCommerce,Medical Supplies eTailer,Hyderabad,"""undisclosed investors""",seed funding,150000,Medium,1.36455,Seed,40,0.987706063,40,0.987706063,0.345894284,4
3189,1678,04-05-2016,Active.ai,Technology,Intelligent Tech platform for Finance vertical,Singapore,"""kalaari capital accelerator program""",seed funding,500000,Medium,4.5485,Seed,500,0.285834032,500,0.285834032,0.011370415,408
3190,1679,04-05-2016,Affordplan,Technology,Affordable non-emergency medical service health plans,New Delhi,"""kalaari capital accelerator program""",seed funding,500000,Medium,4.5485,Seed,500,0.285834032,500,0.285834032,0.011370415,408
3191,1680,04-05-2016,Indee,Consumer Internet,Web Video Streaming Platform,Bangalore,"""kalaari capital accelerator program""",seed funding,500000,Medium,4.5485,Seed,500,0.285834032,500,0.285834032,0.011370415,408
3192,1681,05-05-2016,Unbxd,Technology,eCommerce product discovery software,New Delhi,"""idg ventures""",private equity,1750000,Large,15.91975,Private Equity,63,0.978485611,63,0.978485611,0.097388544,40
3193,1681,05-05-2016,Unbxd,Technology,eCommerce product discovery software,New Delhi,"""  inventus capital""",private equity,1750000,Large,15.91975,Private Equity,230,0.869796032,230,0.869796032,0.021694941,213
3194,1681,05-05-2016,Unbxd,Technology,eCommerce product discovery software,New Delhi,"""  indian angel network""",private equity,1750000,Large,15.91975,Private Equity,290,0.828164292,290,0.828164292,0.035248662,134
3195,1682,05-05-2016,WebAlligator,Consumer Internet,Cloud Based Software Solutions,Bangalore,"""group of undisclosed angel investors & hnis""",seed funding,375000,Medium,3.411375,Seed,575,0.132578933,575,0.132578933,0.003804244,718
3196,1683,06-05-2016,EduAce Services,Education,Education Workshops & mentoring programs,Lucknow,"""momagic technologies""",private equity,1000000,Medium,9.097,Private Equity,501,0.279687063,501,0.279687063,0.007697509,529
3197,1684,06-05-2016,Meesho,eCommerce,Social commerce platform,Bangalore,"""rajul garg & others""",seed funding,1750000,Large,15.91975,Seed,495,0.431824532,495,0.431824532,0.004172892,648
3198,1685,07-05-2016,Zebroads,Logistics,Logistics and Warehousing services,Hyderabad,"""undisclosed investors""",seed funding,75000,Small,0.682275,Seed,40,0.987706063,40,0.987706063,0.345894284,4
3199,1686,09-05-2016,Locus,Technology,Logistics Intelligence platform,Bangalore,"""exfinity venture partners""",private equity,2750000,Large,25.01675,Private Equity,238,0.862531433,238,0.862531433,0.028693441,170
3200,1686,09-05-2016,Locus,Technology,Logistics Intelligence platform,Bangalore,"""  blume ventures""",private equity,2750000,Large,25.01675,Private Equity,66,0.977088572,66,0.977088572,0.106554281,38
3201,1686,09-05-2016,Locus,Technology,Logistics Intelligence platform,Bangalore,"""  beenext""",private equity,2750000,Large,25.01675,Private Equity,138,0.939927354,138,0.939927354,0.063062485,62
3202,1686,09-05-2016,Locus,Technology,Logistics Intelligence platform,Bangalore,"""  rajesh ranavat""",private equity,2750000,Large,25.01675,Private Equity,448,0.634255379,448,0.634255379,0.004441,632
3203,1687,09-05-2016,Toko Innovations,Consumer Internet,Children\\xe2\\x80\\x99s Entertainment Portal,Bangalore,"""roopak saluja""",seed funding,450000,Medium,4.09365,Seed,561,0.152835988,561,0.152835988,0.003824352,705
3204,1687,09-05-2016,Toko Innovations,Consumer Internet,Children\\xe2\\x80\\x99s Entertainment Portal,Bangalore,"""  vishal khare""",seed funding,450000,Medium,4.09365,Seed,512,0.267113719,512,0.267113719,0.011302996,410
3205,1688,09-05-2016,Rentickle,eCommerce,"Furniture, appliances Portal",New Delhi,"""manish kheterpal""",seed funding,250000,Medium,2.27425,Seed,496,0.294495669,496,0.294495669,0.007741762,525
3206,1688,09-05-2016,Rentickle,eCommerce,"Furniture, appliances Portal",New Delhi,"""  vinay mittal""",seed funding,250000,Medium,2.27425,Seed,614,0.086756077,614,0.086756077,0.003770731,753
3207,1688,09-05-2016,Rentickle,eCommerce,"Furniture, appliances Portal",New Delhi,"""  dinesh mittal""",seed funding,250000,Medium,2.27425,Seed,614,0.086756077,614,0.086756077,0.003770731,753
3208,1688,09-05-2016,Rentickle,eCommerce,"Furniture, appliances Portal",New Delhi,"""  sandeep gupta""",seed funding,250000,Medium,2.27425,Seed,614,0.086756077,614,0.086756077,0.003770731,753
3209,1689,10-05-2016,HealthifyMe,Consumer Internet,Health & Fitness App,Bangalore,"""idg ventures india""",private equity,6000000,Very Large,54.582,Private Equity,216,0.880413523,216,0.880413523,0.040364976,112
3210,1689,10-05-2016,HealthifyMe,Consumer Internet,Health & Fitness App,Bangalore,"""  inventus capital""",private equity,6000000,Very Large,54.582,Private Equity,230,0.869796032,230,0.869796032,0.021694941,213
3211,1689,10-05-2016,HealthifyMe,Consumer Internet,Health & Fitness App,Bangalore,"""  blume ventures""",private equity,6000000,Very Large,54.582,Private Equity,66,0.977088572,66,0.977088572,0.106554281,38
3212,1690,10-05-2016,Zarget,Consumer Internet,Conversion Rate Optimization Platform,Chennai,"""accel partners""",private equity,1500000,Large,13.6455,Private Equity,38,0.988264878,38,0.988264878,0.218071344,10
3213,1690,10-05-2016,Zarget,Consumer Internet,Conversion Rate Optimization Platform,Chennai,"""  matrix partners""",private equity,1500000,Large,13.6455,Private Equity,45,0.986309025,45,0.986309025,0.085947627,51
3214,1690,10-05-2016,Zarget,Consumer Internet,Conversion Rate Optimization Platform,Chennai,"""  girish mathrubootham""",private equity,1500000,Large,13.6455,Private Equity,270,0.845766974,270,0.845766974,0.042932635,100
3215,1691,10-05-2016,InnoNano Research,Technology,Clean Water Technology,Chennai,"""nanoholdings""",private equity,18000000,Very Large,163.746,Private Equity,247,0.858340319,247,0.858340319,0.008529641,462
3216,1692,10-05-2016,SchoolWear,eCommerce,School Uniform & Supplies Marketplace,Mumbai,"""undisclosed investors""",seed funding,1500000,Large,13.6455,Seed,40,0.987706063,40,0.987706063,0.345894284,4
3217,1693,10-05-2016,Swiggy,Consumer Internet,Food Delivery Platform,Bangalore,"""norwest venture partners""",private equity,7000000,Very Large,63.679,Private Equity,105,0.95585359,105,0.95585359,0.042265891,105
3218,1693,10-05-2016,Swiggy,Consumer Internet,Food Delivery Platform,Bangalore,"""  dst global""",private equity,7000000,Very Large,63.679,Private Equity,7,0.997764739,7,0.997764739,0.199884658,11
3219,1693,10-05-2016,Swiggy,Consumer Internet,Food Delivery Platform,Bangalore,"""  accel partners""",private equity,7000000,Very Large,63.679,Private Equity,23,0.993014809,23,0.993014809,0.14884878,20
3220,1694,11-05-2016,Zenify,Consumer Internet,Home rental Discovery & Booking Portal,Bangalore,"""undisclosed investors""",private equity,900000,Medium,8.1873,Private Equity,40,0.987706063,40,0.987706063,0.345894284,4
3221,1695,11-05-2016,Faircent,Consumer Internet,Online Peer to Peer Lending platform,Gurgaon,"""jm financial products ltd""",private equity,1750000,Large,15.91975,Private Equity,495,0.431824532,495,0.431824532,0.004172892,648
3222,1695,11-05-2016,Faircent,Consumer Internet,Online Peer to Peer Lending platform,Gurgaon,"""  arun tadanki""",private equity,1750000,Large,15.91975,Private Equity,434,0.675607712,434,0.675607712,0.008095784,481
3223,1695,11-05-2016,Faircent,Consumer Internet,Online Peer to Peer Lending platform,Gurgaon,"""  doreswamy nandkishore""",private equity,1750000,Large,15.91975,Private Equity,495,0.431824532,495,0.431824532,0.004172892,648
3224,1695,11-05-2016,Faircent,Consumer Internet,Online Peer to Peer Lending platform,Gurgaon,"""  kshitij jain""",private equity,1750000,Large,15.91975,Private Equity,434,0.675607712,434,0.675607712,0.008095784,481
3225,1696,11-05-2016,Fractal Analytics,Technology,Data Analytics Company,Mumbai,"""khazanah nasional berhad""",private equity,100000000,Very Large,909.7,Private Equity,64,0.977926795,64,0.977926795,0.041826245,106
3226,1697,12-05-2016,Unacademy,Consumer Internet,Free Online Education Platform,Bangalore,"""blume ventures""",seed funding,500000,Medium,4.5485,Seed,183,0.911427773,183,0.911427773,0.100645137,39
3227,1697,12-05-2016,Unacademy,Consumer Internet,Free Online Education Platform,Bangalore,"""  rajan anandan""",seed funding,500000,Medium,4.5485,Seed,234,0.864207879,234,0.864207879,0.054472356,74
3228,1697,12-05-2016,Unacademy,Consumer Internet,Free Online Education Platform,Bangalore,"""  sumit jain""",seed funding,500000,Medium,4.5485,Seed,415,0.702151439,415,0.702151439,0.011802589,371
3229,1697,12-05-2016,Unacademy,Consumer Internet,Free Online Education Platform,Bangalore,"""  aprameya radhakrishna""",seed funding,500000,Medium,4.5485,Seed,313,0.808326348,313,0.808326348,0.034912505,136
3230,1697,12-05-2016,Unacademy,Consumer Internet,Free Online Education Platform,Bangalore,"""  sujeet kumar""",seed funding,500000,Medium,4.5485,Seed,555,0.171556301,555,0.171556301,0.003837758,699
3231,1697,12-05-2016,Unacademy,Consumer Internet,Free Online Education Platform,Bangalore,"""  phanindra sama""",seed funding,500000,Medium,4.5485,Seed,360,0.761944677,360,0.761944677,0.01593352,277
3232,1698,12-05-2016,Capital Float,Consumer Internet,Online Lending Platform,Bangalore,"""creation investments capital management""",private equity,25000000,Very Large,227.425,Private Equity,209,0.887119307,209,0.887119307,0.010406395,428
3233,1698,12-05-2016,Capital Float,Consumer Internet,Online Lending Platform,Bangalore,"""  saif partners""",private equity,25000000,Very Large,227.425,Private Equity,26,0.991897178,26,0.991897178,0.14449464,22
3234,1698,12-05-2016,Capital Float,Consumer Internet,Online Lending Platform,Bangalore,"""  sequoia capital""",private equity,25000000,Very Large,227.425,Private Equity,6,0.998044146,6,0.998044146,0.251328063,8
3235,1698,12-05-2016,Capital Float,Consumer Internet,Online Lending Platform,Bangalore,"""  aspada ventures""",private equity,25000000,Very Large,227.425,Private Equity,209,0.887119307,209,0.887119307,0.010406395,428
3236,1699,12-05-2016,Life Circle,Healthcare,Senior Healthcare Services,Hyderabad,"""groupe sos""",private equity,150000,Medium,1.36455,Private Equity,641,0.039256776,641,0.039256776,0.00374392,780
3237,1700,12-05-2016,Dream Wallets,Consumer Internet,Online Crowdfunding platform,Jaipur,"""rakesh gupta""",seed funding,1750000,Large,15.91975,Seed,495,0.431824532,495,0.431824532,0.004172892,648
3238,1700,12-05-2016,Dream Wallets,Consumer Internet,Online Crowdfunding platform,Jaipur,"""  aditya aggarwal""",seed funding,1750000,Large,15.91975,Seed,495,0.431824532,495,0.431824532,0.004172892,648
3239,1700,12-05-2016,Dream Wallets,Consumer Internet,Online Crowdfunding platform,Jaipur,"""  siddharth banerjee""",seed funding,1750000,Large,15.91975,Seed,495,0.431824532,495,0.431824532,0.004172892,648
3240,1700,12-05-2016,Dream Wallets,Consumer Internet,Online Crowdfunding platform,Jaipur,"""  vikas ranjan""",seed funding,1750000,Large,15.91975,Seed,495,0.431824532,495,0.431824532,0.004172892,648
3241,1700,12-05-2016,Dream Wallets,Consumer Internet,Online Crowdfunding platform,Jaipur,"""  anshul jindal""",seed funding,1750000,Large,15.91975,Seed,495,0.431824532,495,0.431824532,0.004172892,648
3242,1700,12-05-2016,Dream Wallets,Consumer Internet,Online Crowdfunding platform,Jaipur,"""  sunil koul""",seed funding,1750000,Large,15.91975,Seed,495,0.431824532,495,0.431824532,0.004172892,648
3243,1700,12-05-2016,Dream Wallets,Consumer Internet,Online Crowdfunding platform,Jaipur,"""  and sanjeev agrawal""",seed funding,1750000,Large,15.91975,Seed,495,0.431824532,495,0.431824532,0.004172892,648
3244,1701,12-05-2016,ShabdNagari,Consumer Internet,Hindi social networking portal,Kanpur,"""ah! ventures""",seed funding,1750000,Large,15.91975,Seed,304,0.813355686,304,0.813355686,0.042371943,104
3245,1702,12-05-2016,Galleri5,Consumer Internet,Visual Content Discovery platform,Bangalore,"""phanindra sama""",seed funding,1750000,Large,15.91975,Seed,412,0.708019,412,0.708019,0.015486038,293
3246,1702,12-05-2016,Galleri5,Consumer Internet,Visual Content Discovery platform,Bangalore,"""  raghunandan g""",seed funding,1750000,Large,15.91975,Seed,305,0.812517463,305,0.812517463,0.023973678,198
3247,1702,12-05-2016,Galleri5,Consumer Internet,Visual Content Discovery platform,Bangalore,""" """,seed funding,1750000,Large,15.91975,Seed,36,0.988823694,36,0.988823694,0.265038638,6
3248,1703,12-05-2016,Derbii,Logistics,Carpooling Services,Gurgaon,"""anurag chauhan""",seed funding,1750000,Large,15.91975,Seed,495,0.431824532,495,0.431824532,0.004172892,648
3249,1704,13-05-2016,StayZilla,Consumer Internet,Budget Room Aggregator Booking platform,Chennai,"""matrix partners""",private equity,13500000,Very Large,122.8095,Private Equity,41,0.987426655,41,0.987426655,0.093792908,42
3250,1704,13-05-2016,StayZilla,Consumer Internet,Budget Room Aggregator Booking platform,Chennai,"""  nexus ventures""",private equity,13500000,Very Large,122.8095,Private Equity,291,0.826906957,291,0.826906957,0.007323157,560
3251,1705,13-05-2016,WoW Express,Logistics,E-Commerce Logistics Solutions,Mumbai,"""undisclosed investors & tamarind family private trust""",private equity,2200000,Large,20.0134,Private Equity,470,0.604498463,470,0.604498463,0.004293541,641
3252,1706,16-05-2016,Smartivity,eCommerce,Smart Learning products,Delhi,"""s chand""",private equity,1000000,Medium,9.097,Private Equity,517,0.24015088,517,0.24015088,0.003971811,664
3253,1706,16-05-2016,Smartivity,eCommerce,Smart Learning products,Delhi,"""  advantedge partners""",private equity,1000000,Medium,9.097,Private Equity,364,0.760407935,364,0.760407935,0.012277981,354
3254,1707,16-05-2016,BedBathMore,Consumer Internet,Home Decor eMarketplace,Mumbai,"""kinnevik group""",private equity,1750000,Large,15.91975,Private Equity,495,0.431824532,495,0.431824532,0.004172892,648
3255,1707,16-05-2016,BedBathMore,Consumer Internet,Home Decor eMarketplace,Mumbai,"""  rocket internet""",private equity,1750000,Large,15.91975,Private Equity,93,0.963257893,93,0.963257893,0.027419503,178
3256,1708,17-05-2016,Murgency,Consumer Internet,Medical Emergency Response App,Mumbai,"""rata tata""",private equity,1750000,Large,15.91975,Private Equity,495,0.431824532,495,0.431824532,0.004172892,648
3257,1709,17-05-2016,Crownit,Consumer Internet,Mobile customer rewards management platform,Gurgaon,"""undisclosed investors""",private equity,1750000,Large,15.91975,Private Equity,40,0.987706063,40,0.987706063,0.345894284,4
3258,1709,17-05-2016,Crownit,Consumer Internet,Mobile customer rewards management platform,Gurgaon,"""  accel partners""",private equity,1750000,Large,15.91975,Private Equity,23,0.993014809,23,0.993014809,0.14884878,20
3259,1709,17-05-2016,Crownit,Consumer Internet,Mobile customer rewards management platform,Gurgaon,"""  helion venture partners""",private equity,1750000,Large,15.91975,Private Equity,32,0.989941324,32,0.989941324,0.096185043,41
3260,1710,17-05-2016,Blinge,eCommerce,Apparel Rental platform,Mumbai,"""anupam mittal""",seed funding,1750000,Large,15.91975,Seed,407,0.715563006,407,0.715563006,0.01923456,238
3261,1710,17-05-2016,Blinge,eCommerce,Apparel Rental platform,Mumbai,"""  anuj srivastava""",seed funding,1750000,Large,15.91975,Seed,465,0.614277731,465,0.614277731,0.011517355,398
3262,1710,17-05-2016,Blinge,eCommerce,Apparel Rental platform,Mumbai,"""  ankit nagori""",seed funding,1750000,Large,15.91975,Seed,434,0.675607712,434,0.675607712,0.008095784,481
3263,1711,18-05-2016,TheSmartQ,Consumer Internet,Food Ordering Mobile App,Bangalore,"""yournest angel fund""",seed funding,250000,Medium,2.27425,Seed,342,0.778988544,342,0.778988544,0.030788802,161
3264,1712,18-05-2016,PurpleHealth,Consumer Internet,Online health-on-demand platform,Trivandrum,"""katabole technology venture""",seed funding,100000,Small,0.9097,Seed,659,0.015227717,659,0.015227717,0.003730514,797
3265,1713,18-05-2016,Fundamentor,Education,Aptitude Development Program,Pune,"""subramanya sv""",seed funding,1750000,Large,15.91975,Seed,495,0.431824532,495,0.431824532,0.004172892,648
3266,1714,18-05-2016,EduPristine,Education,Online Certification Courses,Mumbai,"""kaizen management advisors""",private equity,10000000,Very Large,90.97,Private Equity,321,0.794775077,321,0.794775077,0.00638478,570
3267,1714,18-05-2016,EduPristine,Education,Online Certification Courses,Mumbai,"""  devry inc""",private equity,10000000,Very Large,90.97,Private Equity,321,0.794775077,321,0.794775077,0.00638478,570
3268,1715,18-05-2016,BhiveWorkspace,Reality,Co-Working Spaces,Bangalore,"""blume ventures""",private equity,1000000,Medium,9.097,Private Equity,183,0.911427773,183,0.911427773,0.100645137,39
3269,1716,18-05-2016,Parentlane,Consumer Internet,Parenting & Child Care app,Bangalore,"""sujeet kumar""",seed funding,1750000,Large,15.91975,Seed,425,0.689578094,425,0.689578094,0.011750728,379
3270,1716,18-05-2016,Parentlane,Consumer Internet,Parenting & Child Care app,Bangalore,"""  aprameya""",seed funding,1750000,Large,15.91975,Seed,495,0.431824532,495,0.431824532,0.004172892,648
3271,1716,18-05-2016,Parentlane,Consumer Internet,Parenting & Child Care app,Bangalore,"""  sumit jain""",seed funding,1750000,Large,15.91975,Seed,415,0.702151439,415,0.702151439,0.011802589,371
3272,1716,18-05-2016,Parentlane,Consumer Internet,Parenting & Child Care app,Bangalore,"""  subramanya venkat""",seed funding,1750000,Large,15.91975,Seed,434,0.675607712,434,0.675607712,0.008095784,481
3273,1716,18-05-2016,Parentlane,Consumer Internet,Parenting & Child Care app,Bangalore,"""  venk""",seed funding,1750000,Large,15.91975,Seed,495,0.431824532,495,0.431824532,0.004172892,648
3274,1716,18-05-2016,Parentlane,Consumer Internet,Parenting & Child Care app,Bangalore,"""  ravi machani""",seed funding,1750000,Large,15.91975,Seed,495,0.431824532,495,0.431824532,0.004172892,648
3275,1716,18-05-2016,Parentlane,Consumer Internet,Parenting & Child Care app,Bangalore,"""  hitesh gupta""",seed funding,1750000,Large,15.91975,Seed,495,0.431824532,495,0.431824532,0.004172892,648
3276,1716,18-05-2016,Parentlane,Consumer Internet,Parenting & Child Care app,Bangalore,"""  rohit choudhary""",seed funding,1750000,Large,15.91975,Seed,495,0.431824532,495,0.431824532,0.004172892,648
3277,1717,19-05-2016,Appie,Consumer Internet,Location-based offline retail discovery platform,Mumbai,"""undisclosed investors""",seed funding,1000000,Medium,9.097,Seed,40,0.987706063,40,0.987706063,0.345894284,4
3278,1718,19-05-2016,Niki.ai,Technology,Artificial Intelligence Platform,Bangalore,"""ratan tata""",private equity,1750000,Large,15.91975,Private Equity,149,0.928751048,149,0.928751048,0.113855706,35
3279,1719,19-05-2016,TaxiVaxi,Consumer Internet,Cab Aggregating Platform,New Delhi,"""undisclosed hnis""",seed funding,500000,Medium,4.5485,Seed,429,0.687901649,429,0.687901649,0.019079199,240
3280,1720,19-05-2016,Veqta,Consumer Internet,On Demand Digital Sports Network,New Delhi,"""chatsworth management""",seed funding,500000,Medium,4.5485,Seed,555,0.171556301,555,0.171556301,0.003837758,699
3281,1720,19-05-2016,Veqta,Consumer Internet,On Demand Digital Sports Network,New Delhi,"""  itw digital""",seed funding,500000,Medium,4.5485,Seed,555,0.171556301,555,0.171556301,0.003837758,699
3282,1721,20-05-2016,i2ifunding,Consumer Internet,Online Peer to Peer Funding,Noida,"""undisclosed investors""",seed funding,300000,Medium,2.7291,Seed,40,0.987706063,40,0.987706063,0.345894284,4
3283,1722,23-05-2016,EduRev,Consumer Internet,Online Learning Platform,Gurgaon,"""pradeep reddy kamasan""",seed funding,1750000,Large,15.91975,Seed,495,0.431824532,495,0.431824532,0.004172892,648
3284,1723,23-05-2016,Hoppingo,Consumer Internet,Fashion Discovery platform,New Delhi,"""vcommission""",seed funding,89000,Small,0.809633,Seed,607,0.096954457,607,0.096954457,0.01116107,415
3285,1724,24-05-2016,Eatonomist,Consumer Internet,Food Delivery Platform,Gurgaon,"""mcube capital advisors pvt ltd""",seed funding,1750000,Large,15.91975,Seed,495,0.431824532,495,0.431824532,0.004172892,648
3286,1725,24-05-2016,Goalwise,Consumer Internet,Online investment platform,Bangalore,"""undisclosed hnis""",seed funding,1000000,Medium,9.097,Seed,429,0.687901649,429,0.687901649,0.019079199,240
3287,1726,25-05-2016,Roast,Consumer Internet,Mobile entertainment App,New Delhi,"""indian angel network""",seed funding,1750000,Large,15.91975,Seed,170,0.919251187,170,0.919251187,0.130762259,29
3288,1727,25-05-2016,Address Health,Healthcare,Pediatric Primary Healthcare Network,Bangalore,"""gray matters capital""",private equity,1500000,Large,13.6455,Private Equity,327,0.784576697,327,0.784576697,0.012710154,342
3289,1728,25-05-2016,Arcatron Mobility,Technology,Mobility Devices for differently abled,Pune,"""sudhir mehta""",seed funding,100000,Small,0.9097,Seed,491,0.571109248,491,0.571109248,0.007771264,521
3290,1729,25-05-2016,SheThePeople,Consumer Internet,Digital platform for Women,New Delhi,"""anand mahindra""",seed funding,1750000,Large,15.91975,Seed,392,0.737636211,392,0.737636211,0.012018676,360
3291,1730,26-05-2016,Cleartax,Consumer Internet,Online Income Tax Filing platform,Bangalore,"""ff angel""",private equity,2000000,Large,18.194,Private Equity,482,0.586197262,482,0.586197262,0.004239919,643
3292,1730,26-05-2016,Cleartax,Consumer Internet,Online Income Tax Filing platform,Bangalore,"""  sequoia capital""",private equity,2000000,Large,18.194,Private Equity,6,0.998044146,6,0.998044146,0.251328063,8
3293,1731,26-05-2016,Consure Medical,Healthcare,Medical Devices Kit manufacturer,New Delhi,"""accel partners""",private equity,1750000,Large,15.91975,Private Equity,38,0.988264878,38,0.988264878,0.218071344,10
3294,1731,26-05-2016,Consure Medical,Healthcare,Medical Devices Kit manufacturer,New Delhi,"""  indian angel network""",private equity,1750000,Large,15.91975,Private Equity,290,0.828164292,290,0.828164292,0.035248662,134
